n,q,p,l,v,d
0,0.00524,0.99476,100000,1,100000
1,0.00053,0.99947,99476,0.97561,97049.7561
2,0.00042,0.99958,99423.27772,0.951814396,94632.50705
3,0.00034,0.99966,99381.51994,0.928599411,92285.62088
4,0.00029,0.99971,99347.73023,0.905950645,90004.14026
5,0.00026,0.99974,99318.91938,0.883854288,87783.45274
6,0.00023,0.99977,99293.09647,0.862296866,85620.12589
7,0.00021,0.99979,99270.25905,0.841265235,83512.61782
8,0.0002,0.9998,99249.4123,0.820746571,81458.6148
9,0.0002,0.9998,99229.56242,0.800728362,79455.92495
10,0.00019,0.99981,99209.7165,0.781198402,77502.47197
11,0.00019,0.99981,99190.86666,0.762144782,75597.8
12,0.00019,0.99981,99172.02039,0.743555885,73739.9394
13,0.0002,0.9998,99153.17771,0.72542,71927.73542
14,0.00023,0.99977,99133.34707,0.707727196,70159.36573
15,0.00027,0.99973,99110.5464,0.690465557,68432.41861
16,0.00031,0.99969,99083.78656,0.673624934,66745.30913
17,0.00037,0.99963,99053.07058,0.657195057,65097.18838
18,0.00043,0.99957,99016.42095,0.641165909,63485.95358
19,0.00047,0.99953,98973.84389,0.625527716,61910.88255
20,0.00049,0.99951,98927.32618,0.610270943,60372.47262
21,0.00049,0.99951,98878.85179,0.595386286,58871.1123
22,0.00049,0.99951,98830.40115,0.580864669,57407.08825
23,0.00049,0.99951,98781.97426,0.566697238,55979.47198
24,0.0005,0.9995,98733.57109,0.552875354,54587.35809
25,0.00052,0.99948,98684.2043,0.539390589,53229.33113
26,0.00055,0.99945,98632.88852,0.526234721,51904.05061
27,0.0006,0.9994,98578.64043,0.5134,50610.2472
28,0.00065,0.99935,98519.49324,0.500877784,49346.22542
29,0.0007,0.9993,98455.45557,0.488661252,48111.36622
30,0.00075,0.99925,98386.53675,0.476742685,46905.06172
31,0.00081,0.99919,98312.74685,0.465114815,45726.71505
32,0.00087,0.99913,98233.11353,0.453770551,44575.29405
33,0.00093,0.99907,98147.65072,0.442702977,43450.25712
34,0.00099,0.99901,98056.3734,0.431905343,42351.07159
35,0.00107,0.99893,97959.29759,0.421371066,41277.21369
36,0.00116,0.99884,97854.48114,0.411093723,40227.363
37,0.00127,0.99873,97740.96995,0.401067047,39200.6822
38,0.00139,0.99861,97616.83891,0.391284924,38196
39,0.00155,0.99845,97481.15151,0.381741389,37212.59021
